Data/Hora,RSSI (dBm),SNR (dB),Frame Counter,Data Rate
2026-06-12 00:00:32,-105,-0.800000011920929,47366,5
2026-06-12 00:03:32,-105,-0.800000011920929,47369,5
2026-06-12 00:04:32,-106,-0.3000000119209289,47370,5
2026-06-12 00:05:32,-105,-0.3000000119209289,47371,5
2026-06-12 00:06:32,-105,-0.800000011920929,47372,5
2026-06-12 00:07:32,-105,-1.0,47373,5
2026-06-12 00:08:32,-105,-0.800000011920929,47374,5
2026-06-12 00:09:32,-105,-2.299999952316284,47375,5
2026-06-12 00:10:32,-105,-0.5,47376,5
2026-06-12 00:11:32,-105,-0.5,47377,5
2026-06-12 00:12:32,-105,-1.2999999523162842,47378,5
2026-06-12 00:13:32,-105,-2.0,47379,5
2026-06-12 00:14:32,-108,0.0,47380,5
2026-06-12 00:15:32,-107,-1.7999999523162842,47381,5
2026-06-12 00:16:32,-105,-0.3000000119209289,47382,5
2026-06-12 00:17:32,-104,-6.5,47383,5
2026-06-12 00:18:32,-104,-2.5,47384,5
2026-06-12 00:19:32,-105,-0.3000000119209289,47385,5
2026-06-12 00:20:32,-105,-1.7999999523162842,47386,5
2026-06-12 00:21:32,-105,-1.0,47387,5
2026-06-12 00:22:32,-105,-0.3000000119209289,47388,5
2026-06-12 00:23:32,-105,-0.5,47389,5
2026-06-12 00:24:32,-105,-0.800000011920929,47390,5
2026-06-12 00:26:32,-105,-1.0,47392,5
2026-06-12 00:27:32,-104,-2.799999952316284,47393,5
2026-06-12 00:28:32,-105,-0.800000011920929,47394,5
2026-06-12 00:29:32,-105,-0.3000000119209289,47395,5
2026-06-12 00:30:32,-105,-1.0,47396,5
2026-06-12 00:31:32,-105,-0.800000011920929,47397,5
2026-06-12 00:32:32,-105,-1.5,47398,5
2026-06-12 00:33:32,-105,-0.5,47399,5
2026-06-12 00:34:32,-105,-1.2999999523162842,47400,5
2026-06-12 00:36:32,-102,-7.0,47402,5
2026-06-12 00:37:32,-104,-3.299999952316284,47403,5
2026-06-12 00:38:32,-108,-0.800000011920929,47404,5
2026-06-12 00:40:32,-108,-1.0,47406,5
2026-06-12 00:41:32,-105,-1.7999999523162842,47407,5
2026-06-12 00:42:32,-106,-3.0,47408,5
2026-06-12 00:43:32,-108,-0.3000000119209289,47409,5
2026-06-12 00:44:32,-105,-0.5,47410,5
2026-06-12 00:45:32,-104,-1.7999999523162842,47411,5
2026-06-12 00:46:32,-105,-1.0,47412,5
2026-06-12 00:47:32,-105,-0.800000011920929,47413,5
2026-06-12 00:48:32,-105,-1.2999999523162842,47414,5
2026-06-12 00:49:32,-101,-6.300000190734863,47415,5
2026-06-12 00:50:32,-105,-1.2999999523162842,47416,5
2026-06-12 00:51:32,-105,-1.2999999523162842,47417,5
2026-06-12 00:52:33,-105,-0.800000011920929,47418,5
2026-06-12 00:54:32,-105,-0.3000000119209289,47420,5
2026-06-12 00:55:32,-105,-0.5,47421,5
2026-06-12 00:56:32,-105,-0.800000011920929,47422,5
2026-06-12 00:57:32,-105,-0.800000011920929,47423,5
2026-06-12 00:58:32,-105,-2.0,47424,5
2026-06-12 00:59:32,-105,-1.0,47425,5
2026-06-12 01:00:32,-105,-1.5,47426,5
2026-06-12 01:01:32,-105,-2.5,47427,5
2026-06-12 01:02:32,-105,-1.0,47428,5
2026-06-12 01:03:32,-105,-1.0,47429,5
2026-06-12 01:04:32,-105,-1.0,47430,5
2026-06-12 01:05:32,-105,-3.0,47431,5
2026-06-12 01:06:32,-105,-0.5,47432,5
2026-06-12 01:07:32,-105,-1.5,47433,5
2026-06-12 01:08:32,-106,-2.0,47434,5
2026-06-12 01:09:32,-105,0.0,47435,5
2026-06-12 01:10:32,-105,-0.3000000119209289,47436,5
2026-06-12 01:11:32,-105,0.3000000119209289,47437,5
2026-06-12 01:12:32,-105,-0.800000011920929,47438,5
2026-06-12 01:13:32,-102,-5.5,47439,5
2026-06-12 01:14:32,-105,-0.800000011920929,47440,5
2026-06-12 01:15:32,-105,-1.2999999523162842,47441,5
2026-06-12 01:16:32,-106,-1.2999999523162842,47442,5
2026-06-12 01:17:32,-106,-2.5,47443,5
2026-06-12 01:18:32,-106,-1.7999999523162842,47444,5
2026-06-12 01:19:32,-106,-2.0,47445,5
2026-06-12 01:20:32,-106,-2.5,47446,5
2026-06-12 01:21:32,-104,-3.799999952316284,47447,5
2026-06-12 01:23:32,-106,-2.0,47449,5
2026-06-12 01:24:32,-106,-2.299999952316284,47450,5
2026-06-12 01:25:32,-106,-2.299999952316284,47451,5
2026-06-12 01:26:32,-106,-3.0,47452,5
