"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-04-20 00:00:42","20.38","69","945.28","3700","0","-22.82221221923828","-47.065673828125","620.5","-78","14.300000190734863","13906","1776654042789"
"2","2026-04-20 00:01:42","20.37","69.5","945.24","3740","0","-22.822216033935547","-47.065670013427734","620.5","-78","13.5","13907","1776654102788"
"3","2026-04-20 00:02:42","20.35","69.5","945.24","3680","0","-22.822221755981445","-47.06565475463867","616.9000000000001","-78","13.800000190734863","13908","1776654162785"
"4","2026-04-20 00:03:42","20.32","69","945.32","3720","0","-22.82221221923828","-47.06562042236328","624","-78","13.5","13909","1776654222785"
"5","2026-04-20 00:04:42","20.3","69","945.32","3680","0","-22.82221221923828","-47.06569290161133","611.4","-78","13.5","13910","1776654282784"
"6","2026-04-20 00:05:42","20.27","69","945.32","3700","0","-22.822223663330078","-47.06563949584961","618.5","-78","14.300000190734863","13911","1776654342788"
"7","2026-04-20 00:06:42","20.24","69.5","945.34","3700","0","-22.82222557067871","-47.0656623840332","618.5","-78","13.300000190734863","13912","1776654402797"
"8","2026-04-20 00:07:42","20.22","69.5","945.36","3680","0","-22.822214126586914","-47.065650939941406","625.5","-77","12.800000190734863","13913","1776654462795"
"9","2026-04-20 00:08:42","20.2","70","945.4","3680","0","-22.82222557067871","-47.0656852722168","614.5","-78","14.300000190734863","13914","1776654522788"
"10","2026-04-20 00:09:42","20.18","70","945.4","3680","0","-22.82222557067871","-47.06569290161133","613.9","-78","14","13915","1776654582789"
"11","2026-04-20 00:10:42","20.16","70","945.4","3660","0","-22.822248458862305","-47.06570053100586","609","-78","14","13916","1776654642800"
"12","2026-04-20 00:11:42","20.14","70.5","945.44","3740","0","-22.8222599029541","-47.06572341918945","616.5","-79","13.800000190734863","13917","1776654702788"
"13","2026-04-20 00:12:42","20.12","70.5","945.4200000000001","3660","0","-22.822282791137695","-47.06570053100586","630.2","-79","11.800000190734863","13918","1776654762787"
"14","2026-04-20 00:13:42","20.09","70.5","945.4200000000001","3740","0","-22.82225799560547","-47.065696716308594","625.2","-78","13.5","13919","1776654822794"
"15","2026-04-20 00:14:42","20.08","70.5","945.4200000000001","3680","0","-22.822256088256836","-47.06566619873047","624.4000000000001","-77","13.5","13920","1776654882786"
"16","2026-04-20 00:15:42","20.06","70.5","945.38","3680","0","-22.822269439697266","-47.06564712524414","620.7","-78","14.300000190734863","13921","1776654942786"
"17","2026-04-20 00:16:42","20.03","70.5","945.38","3680","0","-22.822246551513672","-47.06565475463867","622.7","-78","13.5","13922","1776655002795"
"18","2026-04-20 00:17:42","20.01","71","945.36","3700","0","-22.82224464416504","-47.06568145751953","619.2","-78","13.800000190734863","13923","1776655062792"
"19","2026-04-20 00:18:42","19.99","70.5","945.38","3680","0","-22.822235107421875","-47.065670013427734","609","-77","13.5","13924","1776655122802"
"20","2026-04-20 00:19:42","19.96","70.5","945.46","3700","0","-22.822235107421875","-47.065643310546875","619.2","-78","13.800000190734863","13925","1776655182792"
"21","2026-04-20 00:20:42","19.94","71","945.26","3660","0","-22.822233200073242","-47.06562805175781","624.7","-78","13.5","13926","1776655242786"
"22","2026-04-20 00:21:42","19.92","70.5","945.36","3680","0","-22.82225799560547","-47.06565856933594","618.9000000000001","-78","14","13927","1776655302781"
"23","2026-04-20 00:22:42","19.9","71","945.4","3740","0","-22.822254180908203","-47.0656623840332","623","-78","13.300000190734863","13928","1776655362783"
"24","2026-04-20 00:23:42","19.88","71","945.4200000000001","3680","0","-22.822237014770508","-47.065670013427734","623.7","-78","13.300000190734863","13929","1776655422799"
"25","2026-04-20 00:24:42","19.85","71","945.36","3700","0","-22.82223892211914","-47.06565856933594","623.4000000000001","-78","13.800000190734863","13930","1776655482802"
"26","2026-04-20 00:25:42","19.82","71","945.38","3660","0","-22.822256088256836","-47.065670013427734","620.7","-79","13.5","13931","1776655542803"
"27","2026-04-20 00:26:42","19.8","71.5","945.44","3700","0","-22.82225227355957","-47.0656852722168","612","-78","14","13932","1776655602806"
"28","2026-04-20 00:27:42","19.77","71","945.4200000000001","3680","0","-22.822254180908203","-47.065650939941406","619.2","-78","13.5","13933","1776655662791"
"29","2026-04-20 00:28:42","19.74","71","945.52","3680","0","-22.822235107421875","-47.06559753417969","625.7","-78","13.800000190734863","13934","1776655722785"
"30","2026-04-20 00:29:42","19.73","71.5","945.44","3700","0","-22.82221221923828","-47.065635681152344","622","-77","13.300000190734863","13935","1776655782792"
"31","2026-04-20 00:30:42","19.7","71.5","945.5","3700","0","-22.822208404541016","-47.06562423706055","617.2","-78","14","13936","1776655842789"
"32","2026-04-20 00:31:42","19.68","71.5","945.4","3720","0","-22.822229385375977","-47.065677642822266","609.7","-78","14","13937","1776655902789"
"33","2026-04-20 00:32:42","19.65","72","945.38","3620","0","-22.822214126586914","-47.06564712524414","609.5","-78","13.5","13938","1776655962805"
"34","2026-04-20 00:33:42","19.62","72","945.4","3680","0","-22.822227478027344","-47.06568908691406","601.5","-78","13.300000190734863","13939","1776656022785"
"35","2026-04-20 00:34:42","19.6","72","945.4","3680","0","-22.822221755981445","-47.065704345703125","606.4","-78","14.300000190734863","13940","1776656082786"
"36","2026-04-20 00:35:42","19.58","72","945.4","3700","0","-22.822256088256836","-47.06570053100586","613.5","-78","13.800000190734863","13941","1776656142804"
"37","2026-04-20 00:36:42","19.55","71.5","945.36","3700","0","-22.822227478027344","-47.06568145751953","608.4","-78","13.5","13942","1776656202782"
"38","2026-04-20 00:37:42","19.54","72","945.46","3700","0","-22.82224464416504","-47.065670013427734","608.9","-78","13.800000190734863","13943","1776656262786"
"39","2026-04-20 00:38:42","19.52","72","945.4200000000001","3680","0","-22.822229385375977","-47.065677642822266","610.5","-78","13.800000190734863","13944","1776656322788"
"40","2026-04-20 00:39:42","19.5","72","945.48","3640","0","-22.822223663330078","-47.065673828125","609.5","-78","14","13945","1776656382790"
"41","2026-04-20 00:40:42","19.48","72","945.46","3680","0","-22.822221755981445","-47.06565856933594","611.4","-78","14","13946","1776656442794"
"42","2026-04-20 00:41:42","19.46","72.5","945.46","3660","0","-22.822229385375977","-47.065677642822266","609.4","-78","13.5","13947","1776656502783"
"43","2026-04-20 00:42:42","19.45","72.5","945.46","3680","0","-22.822233200073242","-47.06566619873047","614.4000000000001","-79","13.300000190734863","13948","1776656562864"
"44","2026-04-20 00:43:42","19.43","72.5","945.48","3700","0","-22.822208404541016","-47.06565475463867","613.9","-78","13.800000190734863","13949","1776656622781"
"45","2026-04-20 00:44:42","19.41","72","945.5","3680","0","-22.822208404541016","-47.06566619873047","611.2","-78","13.300000190734863","13950","1776656682789"
"46","2026-04-20 00:45:42","19.39","72.5","945.44","3660","0","-22.822216033935547","-47.0656623840332","613","-78","13.5","13951","1776656742788"
"47","2026-04-20 00:46:42","19.38","72.5","945.48","3720","0","-22.82221794128418","-47.0656623840332","611.9","-77","13","13952","1776656802794"
"48","2026-04-20 00:47:42","19.37","73","945.46","3660","0","-22.822216033935547","-47.065670013427734","613","-78","13.5","13953","1776656862796"
"49","2026-04-20 00:48:42","19.36","73","945.46","3700","0","-22.82219696044922","-47.06565856933594","617.7","-77","13.800000190734863","13954","1776656922792"
"50","2026-04-20 00:49:42","19.34","72.5","945.44","3700","0","-22.82219123840332","-47.065673828125","614.7","-78","14.300000190734863","13955","1776656982796"
"51","2026-04-20 00:50:42","19.33","72.5","945.44","3700","0","-22.822193145751953","-47.065673828125","609.7","-77","13.800000190734863","13956","1776657042780"
"52","2026-04-20 00:51:42","19.32","72.5","945.5","3660","0","-22.822206497192383","-47.06568145751953","610","-78","13.800000190734863","13957","1776657102791"
"53","2026-04-20 00:52:42","19.3","72.5","945.5","3640","0","-22.822214126586914","-47.065677642822266","612.2","-78","14","13958","1776657162785"
"54","2026-04-20 00:53:42","19.28","72.5","945.52","3700","0","-22.822216033935547","-47.06565856933594","610.2","-78","14","13959","1776657222798"
