"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-04-21 00:00:42";"17.97";"63.5";"946.32";"3720";"0";"-22.822214126586914";"-47.065704345703125";"608.2";"-78";"13.300000190734863";"15346";"1776740442826"
"2";"2026-04-21 00:01:42";"17.95";"63.5";"946.32";"3680";"0";"-22.822227478027344";"-47.06562805175781";"622";"-78";"13.5";"15347";"1776740502824"
"3";"2026-04-21 00:02:42";"17.94";"63.5";"946.34";"3680";"0";"-22.822229385375977";"-47.065677642822266";"616";"-78";"13.5";"15348";"1776740562820"
"4";"2026-04-21 00:03:42";"17.92";"63.5";"946.36";"3680";"0";"-22.822216033935547";"-47.06564712524414";"624.7";"-78";"14";"15349";"1776740622820"
"5";"2026-04-21 00:04:42";"17.9";"64";"946.4";"3700";"0";"-22.822227478027344";"-47.06570053100586";"613";"-78";"13";"15350";"1776740682826"
"6";"2026-04-21 00:05:42";"17.89";"64";"946.36";"3700";"0";"-22.82223129272461";"-47.0656852722168";"616";"-78";"14.300000190734863";"15351";"1776740742819"
"7";"2026-04-21 00:06:42";"17.88";"64";"946.36";"3680";"0";"-22.822248458862305";"-47.06570816040039";"606.2";"-78";"13";"15352";"1776740802816"
"8";"2026-04-21 00:07:42";"17.87";"64";"946.38";"3720";"0";"-22.822263717651367";"-47.06575012207031";"617.5";"-78";"13.5";"15353";"1776740862798"
"9";"2026-04-21 00:08:42";"17.87";"64.5";"946.32";"3720";"0";"-22.82228660583496";"-47.065711975097656";"629.2";"-77";"12.800000190734863";"15354";"1776740922830"
"10";"2026-04-21 00:09:42";"17.86";"64";"946.32";"3740";"0";"-22.82225799560547";"-47.0656623840332";"629.5";"-76";"13.300000190734863";"15355";"1776740982821"
"11";"2026-04-21 00:10:42";"17.85";"64.5";"946.2";"3700";"0";"-22.82225799560547";"-47.065673828125";"621.7";"-78";"13.800000190734863";"15356";"1776741042817"
"12";"2026-04-21 00:11:42";"17.84";"64.5";"946.1800000000001";"3680";"0";"-22.822277069091797";"-47.065643310546875";"622.2";"-77";"13.5";"15357";"1776741102820"
"13";"2026-04-21 00:12:42";"17.84";"64.5";"946.24";"3680";"0";"-22.822246551513672";"-47.065643310546875";"625.7";"-78";"13.800000190734863";"15358";"1776741162826"
"14";"2026-04-21 00:13:42";"17.84";"64.5";"946.26";"3660";"0";"-22.822246551513672";"-47.065670013427734";"620.4000000000001";"-78";"13.800000190734863";"15359";"1776741222831"
"15";"2026-04-21 00:14:42";"17.83";"64.5";"946.28";"3700";"0";"-22.82223129272461";"-47.0656623840332";"611.2";"-78";"13.800000190734863";"15360";"1776741282824"
"16";"2026-04-21 00:15:42";"17.82";"64.5";"946.28";"3720";"0";"-22.822240829467773";"-47.065643310546875";"622.5";"-78";"13.300000190734863";"15361";"1776741342822"
"17";"2026-04-21 00:16:42";"17.82";"64.5";"946.3000000000001";"3680";"0";"-22.822237014770508";"-47.065608978271484";"629.7";"-79";"13.5";"15362";"1776741402822"
"18";"2026-04-21 00:17:42";"17.81";"64.5";"946.28";"3700";"0";"-22.822267532348633";"-47.065650939941406";"622.7";"-78";"14";"15363";"1776741462825"
"19";"2026-04-21 00:18:42";"17.81";"64.5";"946.4";"3700";"0";"-22.82225227355957";"-47.06564712524414";"623.7";"-77";"14";"15364";"1776741522830"
"20";"2026-04-21 00:19:42";"17.8";"65";"946.32";"3680";"0";"-22.82224464416504";"-47.065670013427734";"625";"-78";"14";"15365";"1776741582835"
"21";"2026-04-21 00:20:42";"17.8";"65";"946.24";"3700";"0";"-22.82224464416504";"-47.065643310546875";"626.5";"-78";"13.800000190734863";"15366";"1776741642826"
"22";"2026-04-21 00:21:42";"17.81";"65";"946.32";"3680";"0";"-22.822250366210938";"-47.06564712524414";"622";"-78";"13.300000190734863";"15367";"1776741702827"
"23";"2026-04-21 00:22:42";"17.8";"65";"946.26";"3660";"0";"-22.822248458862305";"-47.06566619873047";"616";"-79";"13.800000190734863";"15368";"1776741762832"
"24";"2026-04-21 00:23:42";"17.81";"65.5";"946.34";"3680";"0";"-22.822250366210938";"-47.06563186645508";"620.9000000000001";"-79";"13.800000190734863";"15369";"1776741822831"
"25";"2026-04-21 00:24:42";"17.8";"65.5";"946.32";"3680";"0";"-22.822235107421875";"-47.06560134887695";"626.2";"-79";"13.5";"15370";"1776741882816"
"26";"2026-04-21 00:25:42";"17.81";"65.5";"946.24";"3640";"0";"-22.82221794128418";"-47.06562805175781";"622.2";"-79";"14";"15371";"1776741942826"
"27";"2026-04-21 00:26:42";"17.8";"65.5";"946.26";"3680";"0";"-22.822221755981445";"-47.06562423706055";"618.4000000000001";"-79";"13.5";"15372";"1776742002827"
"28";"2026-04-21 00:27:42";"17.8";"65.5";"946.32";"3700";"0";"-22.822223663330078";"-47.065670013427734";"610.5";"-79";"14";"15373";"1776742062838"
"29";"2026-04-21 00:28:42";"17.79";"65.5";"946.24";"3680";"0";"-22.822208404541016";"-47.06563949584961";"610.9";"-79";"13.5";"15374";"1776742122820"
"30";"2026-04-21 00:29:42";"17.79";"65.5";"946.28";"3660";"0";"-22.822233200073242";"-47.065696716308594";"603";"-80";"13";"15375";"1776742182823"
"31";"2026-04-21 00:30:42";"17.79";"65.5";"946.28";"3680";"0";"-22.82221794128418";"-47.06570053100586";"607.4";"-79";"13.300000190734863";"15376";"1776742242814"
"32";"2026-04-21 00:31:42";"17.79";"66";"946.24";"3680";"0";"-22.822254180908203";"-47.06568908691406";"613.7";"-79";"13.800000190734863";"15377";"1776742302815"
"33";"2026-04-21 00:32:42";"17.78";"66";"946.2";"3700";"0";"-22.822227478027344";"-47.065673828125";"608.4";"-79";"14";"15378";"1776742362792"
"34";"2026-04-21 00:33:42";"17.78";"66";"946.32";"3700";"0";"-22.822246551513672";"-47.065670013427734";"608.9";"-79";"13.800000190734863";"15379";"1776742422816"
"35";"2026-04-21 00:34:42";"17.77";"66";"946.24";"3680";"0";"-22.822229385375977";"-47.065670013427734";"611";"-79";"13.300000190734863";"15380";"1776742482819"
"36";"2026-04-21 00:35:42";"17.77";"66";"946.22";"3700";"0";"-22.822235107421875";"-47.06566619873047";"611.4";"-79";"13.5";"15381";"1776742542824"
"37";"2026-04-21 00:36:42";"17.76";"66";"946.28";"3660";"0";"-22.82221794128418";"-47.065643310546875";"613.7";"-80";"13.5";"15382";"1776742602809"
