"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-23 00:07:49","15.85","84","1024","3.62","116","100","0","-22.8215","-47.0694"
"2","2026-05-23 00:17:49","15.85","84","1024","3.62","116","100","0","-22.8215","-47.0694"
"3","2026-05-23 00:27:49","15.85","84","1024","3.62","116","100","0","-22.8215","-47.0694"
"4","2026-05-23 00:37:49","15.85","84","1024","3.62","116","100","0","-22.8215","-47.0694"
"5","2026-05-23 00:47:49","16.4","81","1023","3.18","115","100","0","-22.8215","-47.0694"
"6","2026-05-23 00:57:49","16.4","81","1023","3.18","115","100","0","-22.8215","-47.0694"
"7","2026-05-23 01:07:49","16.4","81","1024","3.18","115","100","0","-22.8215","-47.0694"
"8","2026-05-23 01:17:49","16.4","81","1024","3.18","115","100","0","-22.8215","-47.0694"
"9","2026-05-23 01:27:49","16.4","81","1024","3.18","115","100","0","-22.8215","-47.0694"
"10","2026-05-23 01:37:49","16.4","82","1023","2.64","120","99","0","-22.8215","-47.0694"
"11","2026-05-23 01:47:49","16.4","82","1023","2.64","120","99","0","-22.8215","-47.0694"
"12","2026-05-23 01:57:49","16.4","82","1023","2.64","120","99","0","-22.8215","-47.0694"
"13","2026-05-23 02:07:49","16.4","82","1023","2.64","120","99","0","-22.8215","-47.0694"
"14","2026-05-23 02:17:49","16.4","82","1023","2.64","120","99","0","-22.8215","-47.0694"
"15","2026-05-23 02:27:49","16.4","82","1023","2.64","120","99","0","-22.8215","-47.0694"
"16","2026-05-23 02:37:49","16.4","82","1022","2.31","113","96","0","-22.8215","-47.0694"
"17","2026-05-23 02:47:49","16.4","82","1022","2.31","113","96","0","-22.8215","-47.0694"
"18","2026-05-23 02:57:49","16.4","82","1022","1.99","113","96","0","-22.8215","-47.0694"
"19","2026-05-23 03:07:49","16.4","82","1022","1.99","113","96","0","-22.8215","-47.0694"
"20","2026-05-23 03:17:49","16.4","82","1023","1.99","113","96","0","-22.8215","-47.0694"
"21","2026-05-23 03:27:49","16.4","82","1023","1.99","113","96","0","-22.8215","-47.0694"
"22","2026-05-23 03:37:49","16.4","82","1022","1.87","102","99","0","-22.8215","-47.0694"
"23","2026-05-23 03:47:49","16.4","82","1022","1.87","102","99","0","-22.8215","-47.0694"
"24","2026-05-23 03:57:49","16.4","82","1022","1.87","102","99","0","-22.8215","-47.0694"
"25","2026-05-23 04:07:49","16.4","82","1022","1.87","102","99","0","-22.8215","-47.0694"
"26","2026-05-23 04:17:49","16.4","82","1022","1.87","102","99","0","-22.8215","-47.0694"
"27","2026-05-23 04:27:49","16.4","82","1022","1.87","102","99","0","-22.8215","-47.0694"
"28","2026-05-23 04:37:49","16.39","84","1022","1.16","101","82","0","-22.8215","-47.0694"
"29","2026-05-23 04:47:49","16.39","84","1022","1.16","101","82","0","-22.8215","-47.0694"
"30","2026-05-23 04:57:49","16.4","84","1022","1.16","101","82","0","-22.8215","-47.0694"
"31","2026-05-23 05:07:49","16.4","84","1022","1.16","101","82","0","-22.8215","-47.0694"
"32","2026-05-23 05:17:49","16.4","84","1022","1.16","101","82","0","-22.8215","-47.0694"
"33","2026-05-23 05:27:49","16.4","84","1022","1.16","101","82","0","-22.8215","-47.0694"
