"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-05 00:06:09","16.64","62","955.16","3720","","-22.82210350036621","-47.06565475463867","605.4","-95","12","5","18882","1780628769812"
"2","2026-06-05 00:16:09","16.63","62","955.12","3700","","-22.822132110595703","-47.06563186645508","623.7","-111","-2","5","18883","1780629369808"
"3","2026-06-05 00:26:09","16.58","62","955.0600000000001","3720","","-22.82212257385254","-47.06565856933594","611","-99","9.5","5","18884","1780629969810"
"4","2026-06-05 00:36:09","16.59","62","955.02","3720","","-22.822120666503906","-47.065635681152344","619.2","-93","12.5","5","18885","1780630569805"
"5","2026-06-05 00:46:09","16.51","62","955.04","3740","","-22.82217788696289","-47.065608978271484","615.5","-91","13.5","5","18886","1780631169789"
"6","2026-06-05 00:56:09","16.45","62.5","954.94","3720","","-22.822114944458008","-47.06564712524414","609.7","-94","12.300000190734863","5","18887","1780631769812"
"7","2026-06-05 01:06:09","16.42","62.5","954.86","3720","","-22.822154998779297","-47.065677642822266","604.5","-95","12","5","18888","1780632369808"
"8","2026-06-05 01:16:09","16.38","62.5","954.84","3720","","-22.822134017944336","-47.065635681152344","609.5","-97","11.800000190734863","5","18889","1780632969809"
"9","2026-06-05 01:26:09","16.36","62.5","954.72","3700","","-22.822107315063477","-47.065635681152344","605.7","-94","12","5","18890","1780633569808"
"10","2026-06-05 01:36:09","16.34","62.5","954.64","3700","","-22.822141647338867","-47.06562423706055","608.5","-101","9.300000190734863","5","18891","1780634169821"
"11","2026-06-05 01:46:09","16.3","62.5","954.64","3680","","-22.82215118408203","-47.065677642822266","613.7","-104","6.300000190734863","5","18892","1780634769822"
"12","2026-06-05 01:56:09","16.23","62.5","954.5600000000001","3680","","-22.82212257385254","-47.0656623840332","610.7","-99","10.800000190734863","5","18893","1780635369818"
"13","2026-06-05 02:06:09","16.17","62.5","954.46","3680","","-22.822124481201172","-47.065670013427734","615.5","-102","8.5","5","18894","1780635969813"
"14","2026-06-05 02:16:09","16.15","62.5","954.3000000000001","3700","","-22.822128295898438","-47.065673828125","608.7","-93","12.800000190734863","5","18895","1780636569806"
"15","2026-06-05 02:26:09","16.13","62.5","954.1800000000001","3680","","-22.822120666503906","-47.06565856933594","612.2","-95","12","5","18896","1780637169801"
"16","2026-06-05 02:36:09","16.11","62.5","954.16","3700","","-22.8221378326416","-47.06565475463867","624.7","-89","13","5","18897","1780637769813"
"17","2026-06-05 02:46:09","16.09","62.5","954.08","3700","","-22.82211685180664","-47.06566619873047","611.5","-100","9.5","5","18898","1780638369805"
"18","2026-06-05 02:56:09","16.08","62.5","954.08","3680","","-22.82211685180664","-47.065711975097656","621.2","-96","11.300000190734863","5","18899","1780638969811"
"19","2026-06-05 03:06:09","16.04","63","954.1","3700","","-22.822107315063477","-47.06564712524414","629.5","-99","10.300000190734863","5","18900","1780639569808"
"20","2026-06-05 03:16:09","16.02","63","954.08","3700","","-22.8221492767334","-47.065670013427734","615","-110","1","5","18901","1780640169812"
"21","2026-06-05 03:26:09","15.93","63","954.08","3680","","-22.822120666503906","-47.06565475463867","613","-96","12","5","18902","1780640769817"
"22","2026-06-05 03:36:09","15.83","63","953.98","3700","","-22.82210350036621","-47.06564712524414","606","-96","11.300000190734863","5","18903","1780641369811"
"23","2026-06-05 03:46:09","","","","","","","","","-96","11.5","5","18904","1780641969468"
"24","2026-06-05 03:46:09","15.76","63","953.9200000000001","3700","","-22.82205581665039","-47.06562423706055","621.7","-96","11.300000190734863","5","18904","1780641969784"
"25","2026-06-05 03:56:09","15.62","63.5","953.84","3680","","-22.822168350219727","-47.065643310546875","613","-94","11.800000190734863","5","18905","1780642569822"
"26","2026-06-05 04:06:08","15.46","63.5","953.82","3680","","-22.822128295898438","-47.06562423706055","604.7","-91","13","5","18906","1780643168828"
"27","2026-06-05 04:16:09","15.29","64","953.9","3660","","-22.822134017944336","-47.0656623840332","612.5","-97","11","5","18907","1780643769827"
"28","2026-06-05 04:26:09","15.13","64","953.94","3660","","-22.82210922241211","-47.065650939941406","615.2","-94","12.300000190734863","5","18908","1780644369860"
"29","2026-06-05 04:36:09","15.06","64","953.88","3660","","-22.822162628173828","-47.065673828125","604","-92","12.5","5","18909","1780644969823"
"30","2026-06-05 04:46:09","14.98","64","953.9","3680","","-22.8221378326416","-47.06563949584961","602.4","-98","10.800000190734863","5","18910","1780645569855"
"31","2026-06-05 04:56:09","14.86","64","953.9","3700","","-22.82213592529297","-47.06564712524414","607","-93","12.800000190734863","5","18911","1780646169816"
"32","2026-06-05 05:06:09","14.72","64.5","953.94","3700","","-22.82212257385254","-47.0656852722168","622.9000000000001","-96","12","5","18912","1780646769824"
"33","2026-06-05 05:16:09","14.64","64.5","954","3680","","-22.822134017944336","-47.065670013427734","602","-93","12.300000190734863","5","18913","1780647369822"
"34","2026-06-05 05:26:09","14.55","64.5","954.02","3700","","-22.82217788696289","-47.06565856933594","614.2","-93","12","5","18914","1780647969826"
"35","2026-06-05 05:36:09","14.53","64","954.08","3700","","-22.822134017944336","-47.065650939941406","613.7","-93","13","5","18915","1780648569805"
