"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"1","2026-06-06 00:07:49","13.62","88","1024","2.88","116","37","0","-22.8215","-47.0694"
"2","2026-06-06 00:17:49","13.62","88","1024","2.88","116","37","0","-22.8215","-47.0694"
"3","2026-06-06 00:27:49","13.62","88","1024","2.88","116","37","0","-22.8215","-47.0694"
"4","2026-06-06 00:37:49","13.62","88","1024","2.88","116","37","0","-22.8215","-47.0694"
"5","2026-06-06 00:47:49","13.62","88","1022","2.57","101","53","0","-22.8215","-47.0694"
"6","2026-06-06 00:57:49","13.62","88","1022","2.57","101","53","0","-22.8215","-47.0694"
"7","2026-06-06 01:07:49","13.62","88","1022","2.57","101","53","0","-22.8215","-47.0694"
"8","2026-06-06 01:17:49","13.62","89","1023","2.57","101","53","0","-22.8215","-47.0694"
"9","2026-06-06 01:27:49","13.62","89","1023","2.57","101","53","0","-22.8215","-47.0694"
"10","2026-06-06 01:37:49","13.62","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"11","2026-06-06 01:47:49","13.62","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"12","2026-06-06 01:57:49","13.62","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"13","2026-06-06 02:07:49","13.07","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"14","2026-06-06 02:17:49","13.07","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"15","2026-06-06 02:27:49","13.07","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"16","2026-06-06 02:37:49","13.07","89","1022","1.78","120","62","0","-22.8215","-47.0694"
"17","2026-06-06 02:47:49","13.07","89","1021","1.59","128","62","0","-22.8215","-47.0694"
"18","2026-06-06 02:57:49","13.07","89","1021","1.59","128","62","0","-22.8215","-47.0694"
"19","2026-06-06 03:07:49","12.51","88","1021","1.94","131","56","0","-22.8215","-47.0694"
"20","2026-06-06 03:17:49","12.51","88","1023","1.94","131","56","0","-22.8215","-47.0694"
"21","2026-06-06 03:27:49","12.51","88","1023","1.94","131","56","0","-22.8215","-47.0694"
"22","2026-06-06 03:37:49","12.51","88","1022","2.22","113","0","0","-22.8215","-47.0694"
"23","2026-06-06 03:47:49","12.51","88","1022","2.22","113","0","0","-22.8215","-47.0694"
"24","2026-06-06 03:57:49","12.51","88","1022","2.22","113","0","0","-22.8215","-47.0694"
"25","2026-06-06 04:07:49","12.51","88","1022","2.22","113","0","0","-22.8215","-47.0694"
"26","2026-06-06 04:17:49","11.96","91","1022","2.22","113","0","0","-22.8215","-47.0694"
"27","2026-06-06 04:27:49","11.96","91","1022","2.22","113","0","0","-22.8215","-47.0694"
"28","2026-06-06 04:37:49","11.96","91","1021","1.89","103","0","0","-22.8215","-47.0694"
