Data/Hora,RSSI (dBm),SNR (dB),Frame Counter,Data Rate
2026-06-12 00:00:40,-92,12.300000190734863,24030,2
2026-06-12 00:01:40,-88,10.300000190734863,24031,2
2026-06-12 00:02:40,-91,11.300000190734863,24032,2
2026-06-12 00:03:40,-88,11,24033,2
2026-06-12 00:04:40,-89,12.5,24034,2
2026-06-12 00:05:40,-89,10.800000190734863,24035,2
2026-06-12 00:06:40,-88,10,24036,2
2026-06-12 00:07:40,-92,12.5,24037,2
2026-06-12 00:08:40,-89,10.5,24038,2
2026-06-12 00:09:40,-88,10.5,24039,2
2026-06-12 00:10:40,-88,10.800000190734863,24040,2
2026-06-12 00:11:40,-88,9.300000190734863,24041,2
2026-06-12 00:12:40,-88,11.5,24042,2
2026-06-12 00:13:40,-88,11.300000190734863,24043,2
2026-06-12 00:14:40,-89,10.800000190734863,24044,2
2026-06-12 00:15:40,-88,11.300000190734863,24045,2
2026-06-12 00:16:40,-88,11,24046,2
2026-06-12 00:17:40,-88,11.300000190734863,24047,2
2026-06-12 00:18:40,-89,9.300000190734863,24048,2
2026-06-12 00:19:40,-88,11.5,24049,2
2026-06-12 00:20:40,-88,10.5,24050,2
2026-06-12 00:21:40,-88,10.800000190734863,24051,2
2026-06-12 00:22:40,-88,11.300000190734863,24052,2
2026-06-12 00:23:40,-88,10.800000190734863,24053,2
2026-06-12 00:24:40,-88,11,24054,2
2026-06-12 00:25:40,-88,11,24055,2
2026-06-12 00:26:40,-88,10.800000190734863,24056,2
2026-06-12 00:27:40,-88,10.5,24057,2
2026-06-12 00:28:40,-89,11,24058,2
2026-06-12 00:29:40,-88,11.300000190734863,24059,2
2026-06-12 00:30:40,-88,10.5,24060,2
2026-06-12 00:31:40,-89,11.800000190734863,24061,2
2026-06-12 00:32:40,-89,10.5,24062,2
2026-06-12 00:33:40,-89,10.300000190734863,24063,2
2026-06-12 00:34:40,-88,11,24064,2
2026-06-12 00:35:40,-89,10.5,24065,2
2026-06-12 00:36:40,-88,11.300000190734863,24066,2
2026-06-12 00:37:40,-89,10.800000190734863,24067,2
2026-06-12 00:38:40,-88,10.300000190734863,24068,2
2026-06-12 00:39:40,-88,10.300000190734863,24069,2
2026-06-12 00:40:40,-90,9.5,24070,2
2026-06-12 00:41:40,-90,11.5,24071,2
2026-06-12 00:42:40,-90,11.800000190734863,24072,2
2026-06-12 00:43:40,-90,11.300000190734863,24073,2
2026-06-12 00:44:40,-89,11,24074,2
2026-06-12 00:45:40,-89,11,24075,2
2026-06-12 00:46:40,-88,10.5,24076,2
2026-06-12 00:47:40,-89,9.5,24077,2
2026-06-12 00:48:40,-88,10.5,24078,2
2026-06-12 00:49:40,-88,10.800000190734863,24079,2
2026-06-12 00:50:40,-88,10,24080,2
2026-06-12 00:51:40,-90,11.300000190734863,24081,2
2026-06-12 00:52:40,-91,11,24082,2
2026-06-12 00:53:40,-91,11.800000190734863,24083,2
2026-06-12 00:54:40,-89,9.5,24084,2
2026-06-12 00:55:40,-88,10.5,24085,2
2026-06-12 00:56:40,-89,10.5,24086,2
2026-06-12 00:57:40,-88,10,24087,2
2026-06-12 00:58:40,-88,10,24088,2
2026-06-12 00:59:40,-89,10.300000190734863,24089,2
2026-06-12 01:00:40,-88,11.800000190734863,24090,2
2026-06-12 01:01:40,-89,11.5,24091,2
2026-06-12 01:02:40,-88,10.800000190734863,24092,2
2026-06-12 01:03:40,-89,5.5,24093,2
2026-06-12 01:04:40,-88,10.800000190734863,24094,2
2026-06-12 01:05:40,-89,10.300000190734863,24095,2
2026-06-12 01:06:40,-88,11,24096,2
2026-06-12 01:07:40,-88,10.5,24097,2
2026-06-12 01:08:40,-88,10,24098,2
2026-06-12 01:09:40,-88,10.300000190734863,24099,2
2026-06-12 01:10:40,-88,11.300000190734863,24100,2
2026-06-12 01:11:40,-88,10.5,24101,2
2026-06-12 01:12:40,-87,10,24102,2
2026-06-12 01:13:40,-88,7.300000190734863,24103,2
2026-06-12 01:14:40,-88,10.300000190734863,24104,2
2026-06-12 01:15:40,-88,10.5,24105,2
2026-06-12 01:16:40,-88,10.800000190734863,24106,2
2026-06-12 01:17:40,-88,10.800000190734863,24107,2
2026-06-12 01:18:40,-88,10.800000190734863,24108,2
2026-06-12 01:19:40,-88,10.5,24109,2
2026-06-12 01:20:40,-88,11,24110,2
2026-06-12 01:21:40,-88,11,24111,2
2026-06-12 01:22:40,-88,11.300000190734863,24112,2
2026-06-12 01:23:40,-91,11.800000190734863,24113,2
2026-06-12 01:24:40,-91,11.5,24114,2
2026-06-12 01:25:40,-88,10,24115,2
2026-06-12 01:26:40,-88,10.800000190734863,24116,2
2026-06-12 01:27:40,-88,10.300000190734863,24117,2
2026-06-12 01:28:40,-88,9.800000190734863,24118,2
2026-06-12 01:29:40,-88,10,24119,2
2026-06-12 01:30:40,-88,10.5,24120,2
2026-06-12 01:31:40,-88,10.800000190734863,24121,2
2026-06-12 01:32:40,-88,9.300000190734863,24122,2
2026-06-12 01:33:40,-88,10,24123,2
2026-06-12 01:34:40,-88,10.800000190734863,24124,2
2026-06-12 01:35:40,-88,10.5,24125,2
2026-06-12 01:36:40,-88,9.800000190734863,24126,2
2026-06-12 01:37:40,-88,10.300000190734863,24127,2
2026-06-12 01:38:40,-88,10.5,24128,2
2026-06-12 01:39:40,-91,11,24129,2
2026-06-12 01:40:40,-88,10.800000190734863,24130,2
2026-06-12 01:41:40,-88,11,24131,2
2026-06-12 01:42:40,-88,11,24132,2
2026-06-12 01:43:40,-88,11,24133,2
2026-06-12 01:44:40,-88,11.300000190734863,24134,2
2026-06-12 01:45:40,-88,11.5,24135,2
2026-06-12 01:46:40,-89,9.300000190734863,24136,2
2026-06-12 01:47:40,-89,11,24137,2
2026-06-12 01:48:40,-88,11,24138,2
2026-06-12 01:49:40,-88,9.5,24139,2
2026-06-12 01:50:40,-88,11,24140,2
2026-06-12 01:51:40,-88,11.300000190734863,24141,2
2026-06-12 01:52:40,-88,10.5,24142,2
2026-06-12 01:53:40,-88,10.300000190734863,24143,2
2026-06-12 01:54:40,-88,11,24144,2
2026-06-12 01:55:40,-88,10.5,24145,2
2026-06-12 01:56:40,-88,9.300000190734863,24146,2
2026-06-12 01:57:40,-89,10.5,24147,2
2026-06-12 01:58:40,-92,12.5,24148,2
2026-06-12 01:59:40,-88,11.300000190734863,24149,2
2026-06-12 02:00:40,-88,10.800000190734863,24150,2
2026-06-12 02:01:40,-88,11,24151,2
2026-06-12 02:02:40,-92,12,24152,2
2026-06-12 02:03:40,-88,10.800000190734863,24153,2
2026-06-12 02:04:40,-92,11.5,24154,2
2026-06-12 02:05:40,-91,11.300000190734863,24155,2
2026-06-12 02:06:40,-89,10.800000190734863,24156,2
2026-06-12 02:07:40,-88,11,24157,2
2026-06-12 02:08:40,-88,9.800000190734863,24158,2
2026-06-12 02:09:40,-88,11.300000190734863,24159,2
2026-06-12 02:10:40,-89,10.5,24160,2
2026-06-12 02:11:40,-88,10,24161,2
2026-06-12 02:12:40,-88,9.5,24162,2
2026-06-12 02:13:40,-88,2.799999952316284,24163,2
2026-06-12 02:14:40,-89,10.300000190734863,24164,2
2026-06-12 02:15:40,-88,10,24165,2
2026-06-12 02:16:40,-88,10.300000190734863,24166,2
2026-06-12 02:17:40,-88,10,24167,2
2026-06-12 02:18:40,-88,9,24168,2
2026-06-12 02:19:40,-89,10,24169,2
2026-06-12 02:20:40,-88,10.800000190734863,24170,2
2026-06-12 02:21:40,-89,10.800000190734863,24171,2
2026-06-12 02:22:40,-92,11.5,24172,2
2026-06-12 02:23:40,-92,12,24173,2
2026-06-12 02:24:40,-89,10.800000190734863,24174,2
2026-06-12 02:25:40,-88,10.300000190734863,24175,2
2026-06-12 02:26:40,-91,11.5,24176,2
2026-06-12 02:27:40,-89,10.800000190734863,24177,2
2026-06-12 02:28:40,-89,10.300000190734863,24178,2
2026-06-12 02:29:40,-88,10,24179,2
2026-06-12 02:30:40,-88,9.800000190734863,24180,2
2026-06-12 02:31:40,-88,10.5,24181,2
2026-06-12 02:32:40,-89,10.300000190734863,24182,2
2026-06-12 02:33:40,-88,10.300000190734863,24183,2
2026-06-12 02:34:40,-88,10.5,24184,2
2026-06-12 02:35:40,-88,10.5,24185,2
2026-06-12 02:36:40,-89,10,24186,2
2026-06-12 02:37:40,-88,10,24187,2
2026-06-12 02:38:40,-88,10.300000190734863,24188,2
2026-06-12 02:39:40,-89,10.300000190734863,24189,2
2026-06-12 02:40:40,-89,9.800000190734863,24190,2
2026-06-12 02:41:40,-89,11,24191,2
2026-06-12 02:42:40,-91,11.5,24192,2
2026-06-12 02:43:40,-89,9.5,24193,2
2026-06-12 02:44:40,-89,10.5,24194,2
2026-06-12 02:45:40,-89,10.300000190734863,24195,2
2026-06-12 02:46:40,-91,8,24196,2
2026-06-12 02:47:40,-89,9.5,24197,2
2026-06-12 02:48:40,-90,10.300000190734863,24198,2
2026-06-12 02:49:40,-88,9.800000190734863,24199,2
2026-06-12 02:50:40,-88,5.5,24200,2
2026-06-12 02:51:40,-89,9.5,24201,2
2026-06-12 02:52:40,-89,9.5,24202,2
2026-06-12 02:53:40,-89,9.5,24203,2
2026-06-12 02:54:40,-88,9.300000190734863,24204,2
2026-06-12 02:55:40,-88,10.300000190734863,24205,2
2026-06-12 02:56:40,-89,8.800000190734863,24206,2
2026-06-12 02:57:40,-88,10,24207,2
2026-06-12 02:58:40,-88,10.300000190734863,24208,2
2026-06-12 02:59:40,-88,10,24209,2
2026-06-12 03:00:40,-88,9.5,24210,2
2026-06-12 03:01:40,-89,9.300000190734863,24211,2
2026-06-12 03:02:40,-88,9.300000190734863,24212,2
2026-06-12 03:03:40,-88,9.800000190734863,24213,2
2026-06-12 03:04:40,-89,9.300000190734863,24214,2
2026-06-12 03:05:40,-89,9.5,24215,2
2026-06-12 03:06:40,-89,9.800000190734863,24216,2
2026-06-12 03:07:40,-89,9.5,24217,2
2026-06-12 03:08:40,-89,10.5,24218,2
2026-06-12 03:09:40,-89,9.800000190734863,24219,2
2026-06-12 03:10:40,-89,9.5,24220,2
2026-06-12 03:11:40,-89,9.5,24221,2
2026-06-12 03:12:40,-89,10,24222,2
2026-06-12 03:13:40,-89,10.300000190734863,24223,2
2026-06-12 03:14:40,-89,9.800000190734863,24224,2
2026-06-12 03:15:40,-89,9.5,24225,2
2026-06-12 03:16:40,-90,10.800000190734863,24226,2
2026-06-12 03:17:40,-89,10,24227,2
2026-06-12 03:18:40,-89,8.800000190734863,24228,2
2026-06-12 03:19:40,-89,9.300000190734863,24229,2
2026-06-12 03:20:40,-89,9.800000190734863,24230,2
2026-06-12 03:21:40,-89,9,24231,2
2026-06-12 03:22:40,-89,10.800000190734863,24232,2
2026-06-12 03:23:40,-89,10,24233,2
2026-06-12 03:24:40,-89,10.800000190734863,24234,2
2026-06-12 03:25:40,-89,10,24235,2
2026-06-12 03:26:40,-89,9.800000190734863,24236,2
2026-06-12 03:27:40,-89,9.800000190734863,24237,2
2026-06-12 03:28:40,-89,9.5,24238,2
2026-06-12 03:29:40,-89,10,24239,2
2026-06-12 03:30:40,-89,9.300000190734863,24240,2
2026-06-12 03:31:40,-89,9,24241,2
2026-06-12 03:32:40,-89,9.800000190734863,24242,2
2026-06-12 03:33:40,-89,10,24243,2
2026-06-12 03:34:40,-89,10.300000190734863,24244,2
2026-06-12 03:35:40,-89,9.5,24245,2
2026-06-12 03:36:40,-89,10.300000190734863,24246,2
2026-06-12 03:37:40,-89,9.5,24247,2
2026-06-12 03:38:40,-89,6.300000190734863,24248,2
2026-06-12 03:39:40,-89,10.5,24249,2
2026-06-12 03:40:40,-89,10.800000190734863,24250,2
2026-06-12 03:41:40,-88,9.800000190734863,24251,2
2026-06-12 03:42:40,-92,12.300000190734863,24252,2
2026-06-12 03:43:40,-89,10.800000190734863,24253,2
2026-06-12 03:44:40,-88,11.300000190734863,24254,2
2026-06-12 03:45:40,-89,10.800000190734863,24255,2
2026-06-12 03:46:40,-88,11,24256,2
2026-06-12 03:47:40,-88,10.5,24257,2
2026-06-12 03:48:40,-88,11.300000190734863,24258,2
2026-06-12 03:49:40,-89,10.5,24259,2
2026-06-12 03:50:40,-91,12,24260,2
2026-06-12 03:51:40,-89,10.800000190734863,24261,2
2026-06-12 03:52:40,-89,11,24262,2
2026-06-12 03:53:40,-90,11.800000190734863,24263,2
2026-06-12 03:54:40,-89,10.800000190734863,24264,2
2026-06-12 03:55:40,-88,10.300000190734863,24265,2
2026-06-12 03:56:40,-88,10,24266,2
2026-06-12 03:57:40,-89,10.300000190734863,24267,2
2026-06-12 03:58:40,-88,10.5,24268,2
2026-06-12 03:59:40,-88,10.300000190734863,24269,2
2026-06-12 04:00:40,-89,9.300000190734863,24270,2
2026-06-12 04:01:40,-89,9.800000190734863,24271,2
2026-06-12 04:02:40,-89,10.300000190734863,24272,2
2026-06-12 04:03:40,-89,9.300000190734863,24273,2
2026-06-12 04:04:40,-89,10,24274,2
2026-06-12 04:05:40,-88,10.800000190734863,24275,2
2026-06-12 04:06:40,-88,10,24276,2
2026-06-12 04:07:40,-89,10.5,24277,2
2026-06-12 04:08:40,-89,10.5,24278,2
2026-06-12 04:09:40,-89,11,24279,2
2026-06-12 04:10:40,-90,11.300000190734863,24280,2
2026-06-12 04:11:40,-89,9.5,24281,2
2026-06-12 04:12:40,-91,11.300000190734863,24282,2
2026-06-12 04:13:40,-91,11.300000190734863,24283,2
2026-06-12 04:14:40,-89,10,24284,2
2026-06-12 04:15:40,-92,10.800000190734863,24285,2
2026-06-12 04:16:40,-92,12.300000190734863,24286,2
2026-06-12 04:17:40,-92,12,24287,2
2026-06-12 04:18:40,-92,12,24288,2
2026-06-12 04:19:40,-89,12.300000190734863,24289,2
2026-06-12 04:20:40,-89,10.5,24290,2
2026-06-12 04:21:40,-89,9.5,24291,2
2026-06-12 04:22:40,-89,10.300000190734863,24292,2
2026-06-12 04:23:40,-88,9,24293,2
2026-06-12 04:24:40,-87,2.799999952316284,24294,2
2026-06-12 04:25:40,-89,10.5,24295,2
2026-06-12 04:26:40,-88,11,24296,2
2026-06-12 04:27:40,-87,6.5,24297,2
2026-06-12 04:28:40,-89,9,24298,2
2026-06-12 04:29:40,-90,12,24299,2
2026-06-12 04:30:40,-89,10.800000190734863,24300,2
2026-06-12 04:31:40,-89,9,24301,2
2026-06-12 04:32:40,-89,10.800000190734863,24302,2
2026-06-12 04:33:40,-89,10.800000190734863,24303,2
